id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2105092,"GBU TECHNOLOGY SOLUTIONS_SCO : MT PLEASANT2,TN",1066836,,,7910 Mt. Joy Rd,Mt. Pleasant,TN,38474,325199,2022.0,,1.0,2,107,250241,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:17:21:00,,2023,Manufacturing,38474,325199
2105460,ICL (formerly ICL Performance Products LP) - Lawrence,144860,823526187.0,ICL,440 North 9th,Lawrence,KS,66044,325180,2022.0,"Sodium inorganic compounds, not specified elsewhere by process, manufacturing",1.0,2,140,317760,1,0,1,0,3,10,0,3,0,0,0,0,1,20FEB24:15:04:00,Made change,2023,Manufacturing,66044,325180
2105924,Primester GP,931590,621572912.0,Primester,1801 Warrick Drive,Kingsport,TN,37660,325199,2022.0,Cellulose acetate (except resins) manufacturing,1.0,2,79,143620,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:18:41:00,,2023,Manufacturing,37660,325199
2105943,Evonik Corporation,826641,,Evonik Corporation - Mobile,4201 Evonik Road,Theodore,AL,36582,325199,2022.0,"Acids, organic, not specified elsewhere by process, manufacturing",1.0,3,763,1686609,1,0,0,1,0,0,1,1,0,0,0,0,0,04JAN24:18:42:00,,2023,Manufacturing,36582,325199
2106086,Evonik Corporation,223760,630673043.0,Evonik,7 Schoolhouse Lane,Waterford,NY,12188,325180,2022.0,"Silica, amorphous, manufacturing",1.0,2,27,55156,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:18:59:00,,2023,Manufacturing,12188,325180
2106269,INEOS Nitriles USA LLC Lima,543013,371783404.0,INEOS Nitriles USA LLC,1900 Fort Amanda Road,Lima,OH,45804,325199,2022.0,Acrylonitrile manufacturing,1.0,2,117,247740,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:19:21:00,,2023,Manufacturing,45804,325199
2106341,Global Laser Enrichment LLC,929681,10893995.0,Global Laser Enrichment,PO Box 780 - M/C H10,Wilmington,NC,28401,325180,2022.0,"Uranium, enriched, manufacturing",1.0,2,49,101720,1,0,0,0,1,0,0,1,0,0,0,0,0,08JAN24:14:27:00,Addition of one recordable accident for 2023.,2023,Manufacturing,28401,325180
2106653,Lanxess Corporation - Mapleton Site,542499,222268754.0,Lanxess Corporation,8220 West US Highway 24,Mapleton,IL,61547,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,7,15476,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:20:08:00,,2023,Manufacturing,61547,325199
2106793,Plaquemine Methocel,564629,843550621.0,"Nutrition & Biosciences USA 1, LLC",P.O. Box 499,Plaquemine,LA,70765,325199,2022.0,Ethyl cellulose (except resins) manufacturing,1.0,2,52,121442,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:20:27:00,,2023,Manufacturing,70765,325199
2106925,International Isotopes Inc.,660701,742763837.0,International Isotopes Inc.,4137 Commerce Circle,Idaho Falls,ID,83401,325180,2022.0,Radioactive isotopes manufacturing,1.0,2,34,63440,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:20:46:00,,2023,Manufacturing,83401,325180
2107283,Shell Catalysts & Technologies,741660,222869708.0,Shell Catalysts & Technologies,1800 E US Highway 12,Michigan City,IN,46360,325180,2022.0,"Aluminum compounds, not specified elsewhere by process, manufacturing",1.0,2,45,85776,2,0,0,0,0,0,0,0,0,0,0,0,0,04JAN24:21:48:00,,2023,Manufacturing,46360,325180
2107690,Nouryon,651082,,Nouryon,730 Independence Parkway S.,La Porte,TX,77571,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,2,118,246363,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:12:47:00,,2023,Manufacturing,77571,325199
2107756,Clariant Corporation Hill St.,799092,561356629.0,Clariant Corporation,1600 West Hill Street,Louisville,KY,40210,325180,2022.0,Carbon inorganic compounds manufacturing,1.0,2,86,204116,1,0,0,0,1,0,0,1,0,0,0,0,0,05JAN24:13:32:00,,2023,Manufacturing,40210,325180
2107759,Clariant Corporation South,799094,561356629.0,Clariant Corporation,4900 Crittenden Drive,Louisville,KY,40209,325180,2022.0,Carbon inorganic compounds manufacturing,1.0,2,84,174211,1,0,0,0,2,0,0,2,0,0,0,0,0,05JAN24:13:34:00,,2023,Manufacturing,40209,325180
2107765,Clariant Corporation West,798938,561356629.0,Clariant Corporation,1227 South 12th Street,Louisville,KY,40210,325180,2022.0,Carbon inorganic compounds manufacturing,1.0,2,227,471171,1,0,0,0,6,0,0,4,1,1,0,0,0,05JAN24:13:36:00,,2023,Manufacturing,40210,325180
2107771,"""Arxada, LLC""",1067642,135665861.0,"""Arxada, LLC""",8316 W. Route 24,Mapleton,IL,61547,325199,2022.0,,1.0,21,75,153442,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:13:42:00,,2023,Manufacturing,61547,325199
2107960,Dyno Nobel,553634,870409179.0,Dyno Nobel,10800 River Road,Waggaman,LA,70094,325311,2022.0,"Ammonia, anhydrous and aqueous, manufacturing",1.0,2,84,282645,1,0,0,0,1,0,0,1,0,0,0,0,0,05JAN24:14:46:00,,2023,Manufacturing,70094,325311
2108013,Advanced Micronutrient Products,134877,472616017.0,Advanced Micronutrient Products,2405 West Vassar Road,Reese,MI,48757,325314,2022.0,Nitrogenous fertilizers made by mixing purchased materials,1.0,2,29,57667,1,0,0,0,2,0,0,0,0,0,0,2,0,05JAN24:15:05:00,,2023,Manufacturing,48757,325314
2108018,Eco Services Operations Inc - Portland plant,943877,471611030.0,Eco Services Operations Inc.,4429 N Suttle Rd,PORTLAND OR,OR,97217,325180,2022.0,Aluminum sulfate manufacturing,1.0,1,10,16618,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:15:06:00,,2023,Manufacturing,97217,325180
2108089,Ecovyst Catalyst Technologies LLC R&D,923853,,Ecovyst,280 Cedar Grove Rd,Conshohocken,PA,19428,325180,2022.0,"Sodium inorganic compounds, not specified elsewhere by process, manufacturing",1.0,2,83,166000,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:15:26:00,,2023,Manufacturing,19428,325180
2108219,Woodward Iodine Corp.,299470,731221388.0,Woodward Iodine Corp.,205865 ECR 32,Woodward,OK,73801,325180,2022.0,"Iodine, crude or resublimed, manufacturing",1.0,2,29,55858,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:15:58:00,,2023,Manufacturing,73801,325180
2108640,Westlake Chemical South,641571,359789434.0,Westlake Chemical,1300 PPG Drive,Lake Charles,LA,70669,325180,2022.0,"Chlorine compounds, not specified elsewhere by process, manufacturing",1.0,3,1060,2207002,1,0,0,0,1,0,0,1,0,0,0,0,0,05JAN24:17:26:00,,2023,Manufacturing,70669,325180
2108889,Lanxess,1068034,260081950.0,Lanxess,250 Carbide Road,Dunbar,WV,25064,325199,2022.0,Aldehydes manufacturing,1.0,21,42,80833,1,0,1,0,0,15,21,1,0,0,0,0,0,05JAN24:18:42:00,,2023,Manufacturing,25064,325199
2109141,ChampionX,933316,361520480.0,ChampionX,115 Proctor Avenue,Odessa,TX,79762,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,2,80,162118,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:19:45:00,,2023,Manufacturing,79762,325199
2109205,Nouryon Augusta,838759,831179323.0,Nouryon,1616 Marvin Griffin Road,Augusta,GA,30906,325180,2022.0,"Silica, amorphous, manufacturing",1.0,2,30,65463,1,0,0,0,1,0,0,1,0,0,0,0,0,05JAN24:19:58:00,,2023,Manufacturing,30906,325180
2109481,Lubrizol - Avon Lake,135904,134143915.0,Lubrizol Advanced Materials,550 Moore Rd,Avon Lake,OH,44012,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,215,423009,1,0,2,1,2,360,192,5,0,0,0,0,0,05JAN24:21:25:00,,2023,Manufacturing,44012,325199
2109509,Cabot Corp. Midland Plant,115590,42271897.0,Cabot Corp,3603 S. Saginaw Rd,Midland,MI,48640,325180,2022.0,"Silica, amorphous, manufacturing",1.0,2,26,97802,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:21:35:00,,2023,Manufacturing,48640,325180
2109670,"CAF, Inc.",1068304,562487625.0,CAF Outdoor Cleaning,23175 224th PL SE Suite F,Maple Valley,WA,98038,325199,2022.0,"Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing",1.0,21,36,74880,2,0,0,0,0,0,0,0,0,0,0,0,0,05JAN24:23:22:00,,2023,Manufacturing,98038,325199
2110067,"Florida Fertilizer Co., Inc",186753,,"Florida Fertilizer Co., Inc",194 Will Duke Rd,"Wauchula,",FL,33873,325314,2022.0,Mixing purchased fertilizer materials,1.0,2,20,45528,2,0,0,0,0,0,0,0,0,0,0,0,0,08JAN24:13:10:00,,2023,Manufacturing,33873,325314
2110078,BLEACHTECH LLC,921414,161617950.0,BLEACHTECH LLC,2020 Bessemer Rd,Petersburg,VA,23805,325180,2022.0,"Sodium hydroxide (i.e., caustic soda) manufacturing",1.0,2,35,67908,1,0,3,0,0,7,0,3,0,0,0,0,0,08JAN24:13:24:00,,2023,Manufacturing,23805,325180
2110285,LANXESS Corporation Bushy Park,982222,260081950.0,Lanxess Corporation,1530 Bushy Park Road,Goose Creek,SC,29445,325199,2022.0,"Accelerators (i.e., basic synthetic chemical) manufacturing",1.0,2,43,88236,1,0,0,2,0,0,58,1,0,1,0,0,0,08JAN24:14:41:00,,2023,Manufacturing,29445,325199
2110286,Nouryon,571970,600246350.0,Nouryon,485 Cedar Springs Road,Salisbury,NC,28147,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,102,191260,1,0,0,0,1,0,0,1,0,0,0,0,0,08JAN24:14:41:00,,2023,Manufacturing,28147,325199
2110434,Flexsys America LP,1068483,341794583.0,Flexsys America LP,829 Route 481,Monongahela,PA,15063,325180,2022.0,"Sulfur and sulfur compounds, not specified elsewhere by process, manufacturing",1.0,21,46,91163,2,0,0,0,0,0,0,0,0,0,0,0,0,08JAN24:15:20:00,,2023,Manufacturing,15063,325180
2110547,Prayon Augusta Site,1068502,522234076.0,Prayon Inc,1610 Marvin Griffin Rd,Augusta,GA,30906,325180,2022.0,Sodium phosphate manufacturing,1.0,22,139,308557,1,0,2,1,3,2,115,3,0,0,0,0,3,08JAN24:15:43:00,,2023,Manufacturing,30906,325180
2110996,Honeywell/UOP AL37,650409,222640650.0,Honeywell,1 Linde Drive,Chickasaw,AL,36611,325180,2022.0,Sodium aluminate manufacturing,1.0,2,335,763968,1,0,0,0,1,0,0,1,0,0,0,0,0,08JAN24:17:07:00,,2023,Manufacturing,36611,325180
2111112,METALS AND ADDITIVES PLANT,813718,823723162.0,Metals and Additives LLC,10665 N. State Road 59,Brazil,IN,47834,325180,2022.0,"Fuel propellants, solid inorganic, not specified elsewhere by process, manufacturing",1.0,2,47,96106,1,0,1,1,1,5,10,2,1,0,0,0,0,08JAN24:17:35:00,,2023,Manufacturing,47834,325180
2111163,Organic Recycling Inc.,922626,133527179.0,Organic Recycling Inc.,121 Route 303 Blg#1,Orangeburg,NY,10962,325314,2022.0,Compost manufacturing,1.0,2,32,49960,2,0,0,0,0,0,0,0,0,0,0,0,0,08JAN24:17:46:00,,2023,Manufacturing,10962,325314
2111561,Agro-K Corporation,944228,411276936.0,Agro-K Corporation,8030 Main St NE,Minneapolis,MN,55432,325311,2022.0,"Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials",1.0,2,25,50275,2,0,0,0,0,0,0,0,0,0,0,0,0,08JAN24:18:57:00,,2023,Manufacturing,55432,325311
2111667,"Masterblend International, LLC",653338,311758494.0,"Masterblend International, LLC",4673 Weitz Rd,Morris,IL,60450,325314,2022.0,"Fertilizers, mixed, made in plants not manufacturing fertilizer materials",1.0,2,31,57179,1,0,0,0,1,0,0,0,1,0,0,0,0,08JAN24:19:13:00,,2023,Manufacturing,60450,325314
2111785,"Lycus LTD., LLC",1068111,201171895.0,"Lycus LTD., LLC",181 Cooper Dr.,El Dorado,AR,71730,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,20,34103,2,0,0,0,0,0,0,0,0,0,0,0,0,08JAN24:19:33:00,,2023,Manufacturing,71730,325199
2112091,GOWAN MILLING LLC,808501,860739028.0,GOWAN MILLING LLC - 09 | 12300 E COUNTY 8TH STREET,12300 E COUNTY 8TH STREET,YUMA,AZ,85365,325311,2022.0,Chemical Manufacturing,1.0,3,366,787496,1,0,2,1,1,75,18,4,0,0,0,0,0,08JAN24:20:31:00,,2023,Manufacturing,85365,325311
2112349,Metropolis-HSEMS,923890,,Honeywell,2768 US Hwy 45,Metropolis,IL,62960,325180,2022.0,Uranium oxide manufacturing,1.0,2,205,575052,1,0,1,0,3,52,18,1,0,3,0,0,0,08JAN24:21:31:00,,2023,Manufacturing,62960,325180
2112422,"Umicore PMC USA, INC",1048036,,"Umicore PMC USA, INC",1305 MAIN PKWY,Catoosa,OK,74015,325180,2022.0,"Rare earth compounds, not specified elsewhere by process, manufacturing",1.0,2,34,59292,1,0,1,0,0,1,0,0,0,1,0,0,0,08JAN24:21:47:00,,2023,Manufacturing,74015,325180
2112517,"Solvay Chemicals, Inc.",649340,,"Solvay Chemicals, Inc",3500 Industrial Way,Longview,WA,98632,325180,2022.0,Hydrogen peroxide manufacturing,1.0,2,32,65543,1,0,0,0,1,0,0,0,0,0,0,1,0,08JAN24:22:22:00,,2023,Manufacturing,98632,325180
2112609,"Grow More, Inc.",658541,954275941.0,"Grow More, Inc.",15600 New Century Drive,Gardena,CA,90248,325311,2022.0,"Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials",1.0,2,50,76563,1,0,1,1,0,12,0,2,0,0,0,0,0,08JAN24:23:03:00,,2023,Manufacturing,90248,325311
2112846,ERCO Worldwide Valdosta,54090,980388203.0,ERCO Worldwide,5700 Hunt Road,Valdosta,GA,31606,325180,2022.0,Sodium chlorate manufacturing,1.0,2,30,61224,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:13:28:00,,2023,Manufacturing,31606,325180
2112897,"Pulcra Chemicals, LLC",655024,208366056.0,Pulcra Chemicals,474 Bryant Blvd,Rock Hill,SC,29732,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,69,133233,1,0,0,0,2,0,0,2,0,0,0,0,0,09JAN24:13:50:00,,2023,Manufacturing,29732,325199
2113211,"Eco Services Operations, Corp",981930,,EcoServices,3439 Park St.,Baytown,TX,77520,325180,2022.0,Sulfuric acid manufacturing,1.0,21,33,68400,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:15:20:00,,2023,Manufacturing,77520,325180
2113365,The Lubrizol Corporation - Wickliffe,640503,340367600.0,The Lubrizol Corporation,29400 Lakeland Boulevard,Wickliffe,OH,44092,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,3,1112,2134400,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:15:50:00,,2023,Manufacturing,44092,325199
2113403,Elementis SRL,651696,412209403.0,Elementis Global,15 Big Pond Rd,Huguenot,NY,12746,325180,2022.0,"Aluminum compounds, not specified elsewhere by process, manufacturing",1.0,2,105,145215,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:15:58:00,,2023,Manufacturing,12746,325180
2113557,"South Plains Compost, Inc.",675610,751687689.0,"South Plains Compost, Inc.",5407 Slaton Hwy,Slaton,TX,79364,325314,2022.0,Compost manufacturing,1.0,2,75,195158,1,0,2,0,1,45,0,3,0,0,0,0,0,18JAN24:17:13:00,"After reviewing submission, we realized we omitted hours worked by terminated employees.  The new total hours worked includes terminated employee hours.",2023,Manufacturing,79364,325314
2113637,HoneywellLA25,962270,,Honeywell,8725 Old Morringsport Road,Shreveport,LA,71107,325180,2022.0,"Uranium compounds, not specified elsewhere by process, manufacturing",1.0,2,225,500316,1,0,1,1,0,38,28,2,0,0,0,0,0,09JAN24:16:45:00,,2023,Manufacturing,71107,325180
2113858,"ERCO Worldwide, USA - Port Edwards Plant",102216,980453622.0,ERCO Worldwide (USA) Inc.,101 Highway 73 South,Nekoosa,WI,54457,325180,2022.0,Alkalies manufacturing,1.0,2,100,201500,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:17:27:00,,2023,Manufacturing,54457,325180
2114156,Albemarle U.S. Inc,799131,510380781.0,Albemarle U.S. Inc,348 Holiday Inn Drive,Kings Mountain,NC,28086,325180,2022.0,Lithium Processing,1.0,3,287,560438,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:18:23:00,,2023,Manufacturing,28086,325180
2114254,Lubrizol Advanced Materials,813495,,Lubrizol Corporation,76 Porcupine Rd,Pedricktown,NJ,8067,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,42,79699,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:18:39:00,,2023,Manufacturing,8067,325199
2114311,"Ajinomoto Health and Nutrition North America, Inc.",1050653,,"Ajinomoto Health and Nutrition North America, Inc.",1 Ajinomoto Drive,Eddyville,IA,52553,325199,2022.0,Monosodium glutamate manufacturing,1.0,2,121,228129,1,0,1,0,2,7,0,3,0,0,0,0,0,09JAN24:18:50:00,,2023,Manufacturing,52553,325199
2114426,HELM Fertilizer Terminal,905164,,"HELM Fertilizer Terminal, Inc.",1421 Channel Avenue,Memphis,TN,38113,325314,2022.0,Mixing purchased fertilizer materials,1.0,2,17,42762,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:19:12:00,,2023,Manufacturing,38113,325314
2114624,AmericanAcryl,192418,232943745.0,AmericanAcryl,4631 Old Hwy 146,Pasadena,TX,77507,325199,2022.0,"Acids, organic, not specified elsewhere by process, manufacturing",1.0,2,63,139777,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:19:39:00,,2023,Manufacturing,77507,325199
2114752,"Vanderbilt Chemicals, LLC Murray Division",543749,461031856.0,R. T. Vanderbilt Holding Company,396 Pella way,Murray,KY,42071,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,93,199791,1,0,1,0,1,33,188,2,0,0,0,0,0,09JAN24:19:56:00,,2023,Manufacturing,42071,325199
2114790,Lanxess,735350,,Lanxess,2151 King St. Ext.,Charleston,SC,29405,325199,2022.0,Phosphoric acid esters manufacturing,1.0,2,77,171192,1,0,1,0,1,162,0,2,0,0,0,0,0,09JAN24:20:04:00,,2023,Manufacturing,29405,325199
2115084,"Asia Union Electronic Chemicals-Reno, Inc.",837878,300961618.0,"Asia Union Electronic Chemicals-Reno, Inc.",1400 Waltham Way,McCarran,NV,89437,325180,2022.0,Sodium aluminate manufacturing,1.0,2,40,75834,1,0,0,0,1,0,0,1,0,0,0,0,0,09JAN24:20:46:00,,2023,Manufacturing,89437,325180
2115206,Kemira Chemicals Inc.,545243,10598941.0,Kemira Chemicals Inc.,1 Cyanamid Rd,Mobile,AL,36610,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,82,179341,1,0,0,1,1,0,14,2,0,0,0,0,0,09JAN24:21:01:00,,2023,Manufacturing,36610,325199
2115270,Itafos Conda LLC,411053,822967265.0,Itafos Conda LLC,3010 Conda Road,Soda Springs,ID,83276,325312,2022.0,Ammonium phosphates manufacturing,1.0,3,280,518967,1,0,2,0,1,295,0,3,0,0,0,0,0,09JAN24:21:15:00,,2023,Manufacturing,83276,325312
2115707,Intrepid,679816,841535237.0,Intrepid,HWY 279 Mile Post #1,Moab,UT,84532,212391,2017.0,"Muriate of potash, mining",1.0,2,60,120975,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN24:23:56:00,,2023,"Mining, Quarrying, and Oil and Gas Extraction",84532,212391
2115833,"SAM Americas, Inc",984384,341730195.0,"SAM Americas, Inc",sam americas 3555 gilchrist rd mogadore,sam americas 3555 gilchrist rd mogadore,OH,44260,325180,2022.0,"Calcium inorganic compounds, not specified elsewhere by process, manufacturing",1.0,2,40,75632,1,0,2,0,3,4,0,5,0,0,0,0,0,10JAN24:13:13:00,,2023,Manufacturing,44260,325180
2115859,Facility 2,44642,221814774.0,"Kuehne Chemical Company, Inc.",1645 River Road,New Castle,DE,19720,325180,2022.0,Sodium hypochlorite manufacturing,1.0,2,60,126089,1,0,1,0,0,20,13,0,1,0,0,0,0,10JAN24:13:29:00,,2023,Manufacturing,19720,325180
2115862,Atlanta Headquarters,1069981,853951845.0,Bakelite Chemicals,1040 Crown Pointe Parkway,Atlanta,GA,30338,325199,2022.0,Formaldehyde manufacturing,1.0,21,55,107568,2,0,0,0,0,0,0,0,0,0,0,0,0,10JAN24:13:30:00,,2023,Manufacturing,30338,325199
2115868,Facility 1,44572,221814774.0,"Kuehne Chemical Company, Inc.",86 North Hackensack Avenue,South Kearny,NJ,7032,325180,2022.0,Sodium hypochlorite manufacturing,1.0,2,95,206067,1,0,1,0,0,66,17,1,0,0,0,0,0,10JAN24:13:34:00,,2023,Manufacturing,7032,325180
2115887,"Kuehne New Haven, LLC",555027,221814774.0,"Kuehne New Haven, LLC",71 Welton Street,New Haven,CT,6511,325180,2022.0,Chlorine manufacturing,1.0,2,20,47343,2,0,0,0,0,0,0,0,0,0,0,0,0,10JAN24:13:39:00,,2023,Manufacturing,6511,325180
2116347,Honeywell Electronic Chemicals LLC,915257,,Honeywell Electronic Chemicals LLC,6200 Mumford Rd,Bryan,TX,77807,325180,2022.0,Hydrofluoric acid manufacturing,1.0,2,20,62280,2,0,0,0,0,0,0,0,0,0,0,0,0,10JAN24:15:40:00,,2023,Manufacturing,77807,325180
